filepath,label,original_split
largeFaceShape_dataset\train\round\round-347-_jpg.rf.f2f05d1b1dc368da7d19f7d47e560466.jpg,round,train
largeFaceShape_dataset\train\heart\heart-38-_jpg.rf.12aa04f3f60b39e00797c04a8fa94096.jpg,heart,train
largeFaceShape_dataset\train\heart\heart-968-_jpg.rf.83e822f64e77f46524a5a1bef1a3a133.jpg,heart,train
largeFaceShape_dataset\train\long\oblong-347-_jpg.rf.19bda8035ad95b5a863c68d66e79b2cd.jpg,long,train
largeFaceShape_dataset\train\heart\heart-884-_jpg.rf.42bd29d3ec204aa1a8d650b107944c6e.jpg,heart,train
largeFaceShape_dataset\train\long\oblong-355-_jpg.rf.01468059826746d38409cf885ac7d27c.jpg,long,train
largeFaceShape_dataset\train\round\round-759-_jpg.rf.ca72a6899c06463f0f1d60b9f5776ee8.jpg,round,train
largeFaceShape_dataset\train\square\square-487-_jpg.rf.624756932fde76b654ab7432e428b29d.jpg,square,train
largeFaceShape_dataset\train\round\images-round-12_jpg.rf.be6c998275a44707442b0715da58a8c1.jpg,round,train
largeFaceShape_dataset\train\heart\heart-490-_jpg.rf.2e50a5ec29874ec4a5a7ac1193ead53f.jpg,heart,train
largeFaceShape_dataset\train\long\117_jpg.rf.63d344eb07737945267e4aa15b70f2f8.jpg,long,train
largeFaceShape_dataset\train\oval\oval-935-_jpg.rf.7e007f2f5521c55a69cb2c5fb7d4bdf3.jpg,oval,train
largeFaceShape_dataset\train\oval\oval-872-_jpg.rf.646310d53516e0db04ca06068cf78b5d.jpg,oval,train
largeFaceShape_dataset\train\round\round-970-_jpg.rf.52673d9ec82d925266d86ee3354e7ef9.jpg,round,train
largeFaceShape_dataset\train\heart\heart-897-_jpg.rf.0709b1c12bbc5bcc05e87264d076c291.jpg,heart,train
largeFaceShape_dataset\train\long\oblong-341-_jpg.rf.7b13b7ab4def284978c06ccd31437fbe.jpg,long,train
largeFaceShape_dataset\train\round\round-328-_jpg.rf.99a524236ff9f2a1323d4e1d38fa3abe.jpg,round,train
largeFaceShape_dataset\train\square\image-square-101_jpg.rf.7dc80cccacdb944e2e82094caa6b4f71.jpg,square,train
largeFaceShape_dataset\train\oval\oval-108-_jpg.rf.993adcc197e197286f5edbca877077e5.jpg,oval,train
largeFaceShape_dataset\train\oval\oval-603-_jpg.rf.c49166ee2292af3c08f51495c6fada97.jpg,oval,train
largeFaceShape_dataset\train\long\oblong-651-_jpg.rf.aebbbc79078a0c8114b57181c2fd5ca4.jpg,long,train
largeFaceShape_dataset\train\square\square-879-_jpg.rf.a4f715b6afbde7480591f231a20525d2.jpg,square,train
largeFaceShape_dataset\train\heart\heart-734-_jpg.rf.ad4aa861c2e052a641c50c5a999bfc1b.jpg,heart,train
largeFaceShape_dataset\train\oval\oval-916-_jpg.rf.99126573a77569338ec22cda9ae7d448.jpg,oval,train
largeFaceShape_dataset\train\square\image-square-149_jpg.rf.4040b3b47dfbff23e1420642a1e76b5d.jpg,square,train
largeFaceShape_dataset\train\square\square-134-_jpg.rf.54a9d07584cf8a336200fa2ac8282864.jpg,square,train
largeFaceShape_dataset\train\heart\heart-153-_jpg.rf.a2ccb19ed62867852ee6d42d86d01b6a.jpg,heart,train
largeFaceShape_dataset\train\round\round-482-_jpg.rf.28d7836b8d5f891a1a86f26d17f8f484.jpg,round,train
largeFaceShape_dataset\train\heart\heart-887-_jpg.rf.d226cf6c49480069734c13da33b3343a.jpg,heart,train
largeFaceShape_dataset\train\oval\oval-865-_jpg.rf.9ca9c02c568bc1193b5fb8fd012407a7.jpg,oval,train
largeFaceShape_dataset\train\heart\heart-714-_jpg.rf.bde8ef27bb29a962e750eb8c7bcc8cbc.jpg,heart,train
largeFaceShape_dataset\train\square\square-671-_jpg.rf.5b73bffdd1c8f6cc2d418431403e0d1e.jpg,square,train
largeFaceShape_dataset\train\round\round-515_jpg.rf.95abf56c9bdb422527fe5433050081c0.jpg,round,train
largeFaceShape_dataset\train\heart\heart-373-_jpg.rf.b5860810af29d99104e9e4fa41a16aaa.jpg,heart,train
largeFaceShape_dataset\train\oval\oval-856-_jpg.rf.19ac3d3d32b32d1d5e83c49fae5254ea.jpg,oval,train
largeFaceShape_dataset\train\round\round-238-_jpg.rf.8f0cbdcf17ef9a61edc33f3fe8a9bdc2.jpg,round,train
largeFaceShape_dataset\train\round\round-664-_jpg.rf.e1a7b31b8180c69a80a795cecc7bc007.jpg,round,train
largeFaceShape_dataset\train\square\square-202-_jpg.rf.ce17cd6830e19391e2231ac6307aaf95.jpg,square,train
largeFaceShape_dataset\train\oval\oval-783-_jpg.rf.9fdb1e5ff0d607ddc5c5e03dac774cbd.jpg,oval,train
largeFaceShape_dataset\train\oval\16_jpg.rf.ab7c92cd98733937bda05e743d03eee2.jpg,oval,train
largeFaceShape_dataset\train\square\sqaure-213_jpg.rf.ee465bd862011fe34aef876bc33b713c.jpg,square,train
largeFaceShape_dataset\train\round\round-786-_jpg.rf.33fa59c59ed3180297a365b62747aa85.jpg,round,train
largeFaceShape_dataset\train\round\round-795-_jpg.rf.26554a550887319acf0b101c2b5ddff5.jpg,round,train
largeFaceShape_dataset\test\round\round-t15_jpg.rf.1de5fc67e007e9a81036c08099e65bf1.jpg,round,test
largeFaceShape_dataset\train\round\round-618-_jpg.rf.2d2a98dc6a2f4d43eb12a84debf27f9c.jpg,round,train
largeFaceShape_dataset\test\oval\ovale-t101_jpg.rf.ece2dcddfdbfafbc213d264938977779.jpg,oval,test
largeFaceShape_dataset\train\square\square-536-_jpg.rf.768becbdb9b70cae0828e6cfc748603c.jpg,square,train
largeFaceShape_dataset\train\round\round-423_jpg.rf.0e3b926b4a39d38d60a6498ad0fa27a4.jpg,round,train
largeFaceShape_dataset\train\oval\oval-733-_jpg.rf.4d396b287f9a97e9f119cdf6d7f9381a.jpg,oval,train
largeFaceShape_dataset\train\square\118_jpg.rf.4ae7ee9405886c7a98e7a0a43ab3aab1.jpg,square,train
largeFaceShape_dataset\train\round\round-669-_jpg.rf.1061a561f33ac21e3c355abc4efbe530.jpg,round,train
largeFaceShape_dataset\train\oval\oval-763-_jpg.rf.c05b685fc48204f8fdca7e6b51b2938b.jpg,oval,train
largeFaceShape_dataset\train\square\60_jpg.rf.2799bed28f47e3f484d61b5d4c26c8c9.jpg,square,train
largeFaceShape_dataset\train\square\55_jpg.rf.1de4ced73d5a3f4796ef640171ed8bae.jpg,square,train
largeFaceShape_dataset\train\heart\heart-297-_jpg.rf.c652319537c8cce8bf47503d79379e4a.jpg,heart,train
largeFaceShape_dataset\train\square\square-760-_jpg.rf.741a86bcc355412a573ea0e2f508bbc5.jpg,square,train
largeFaceShape_dataset\train\round\images-round-68_jpg.rf.61413b68de45d1f77cfde762125fd1c6.jpg,round,train
largeFaceShape_dataset\train\long\oblong-960-_jpg.rf.74cdcaf2fb6bf7a924570db34e108873.jpg,long,train
largeFaceShape_dataset\train\round\round-309-_jpg.rf.2d04ad51c1140b5cb5d11cc1b95ccfa7.jpg,round,train
largeFaceShape_dataset\train\oval\oval-910-_jpg.rf.513291e2ed1388a33f040a73e3e9e975.jpg,oval,train
largeFaceShape_dataset\train\long\oblong-367-_jpg.rf.634543ab82d0bbeb44546eacea768d53.jpg,long,train
largeFaceShape_dataset\train\square\square-371-_jpg.rf.59475a7c6c3ffb96da88fa4a178af69d.jpg,square,train
largeFaceShape_dataset\train\square\square-778-_jpg.rf.ec06615c2395ac8001e3f241fe3a3151.jpg,square,train
